Layer #,Pass #,Time(ms),Reading
53,1,460071,0.0
53,1,460089,0.0
53,1,460105,0.0
53,1,460121,0.0
53,1,460137,0.0
53,1,460154,707.0
53,1,460171,708.0
53,1,460187,709.0
53,1,460203,707.0
53,1,460220,708.0
53,1,460237,709.0
53,1,460253,707.0
53,1,460270,707.0
53,1,460287,710.0
53,1,460304,708.0
53,1,460320,709.0
53,1,460338,708.0
53,1,460353,708.0
53,1,460371,709.0
53,1,460387,710.0
53,1,460404,709.0
53,1,460421,708.0
53,1,460437,709.0
53,1,460454,708.0
53,1,460470,709.0
53,1,460487,708.0
53,1,460503,709.0
53,1,460520,710.0
53,1,460537,708.0
53,1,460554,710.0
53,1,460570,709.0
53,1,460588,709.0
53,1,460605,710.0
53,1,460620,711.0
53,1,460637,709.0
53,1,460653,708.0
53,1,460671,710.0
53,1,460687,708.0
53,1,460704,711.0
53,1,460720,712.0
53,1,460738,709.0
53,1,460753,708.0
53,1,460770,709.0
53,1,460787,710.0
53,1,460804,709.0
53,1,460821,708.0
53,1,460837,710.0
53,1,460854,709.0
53,1,460870,708.0
53,1,460887,710.0
53,1,460904,708.0
53,1,460921,710.0
53,1,460938,709.0
53,1,460954,708.0
53,1,460971,711.0
53,1,460988,709.0
53,1,461004,709.0
53,1,461021,709.0
53,1,461038,709.0
53,1,461055,708.0
53,1,461071,710.0
53,1,461088,709.0
53,1,461104,708.0
53,1,461121,710.0
53,1,461137,710.0
53,1,461155,709.0
53,1,461171,708.0
53,1,461187,710.0
53,1,461204,711.0
53,1,461220,709.0
53,1,461237,707.0
53,1,461254,707.0
53,1,461271,707.0
53,1,461289,711.0
53,1,461305,709.0
53,1,461320,710.0
53,1,461338,708.0
53,1,461355,709.0
53,1,461371,710.0
53,1,461388,710.0
53,1,461404,710.0
53,1,461421,708.0
53,1,461438,710.0
53,1,461455,710.0
53,1,461471,709.0
53,1,461488,709.0
53,1,461504,709.0
53,1,461522,710.0
53,1,461539,710.0
53,1,461554,710.0
53,1,461571,710.0
53,1,461587,710.0
53,1,461604,709.0
53,1,461621,708.0
53,1,461638,707.0
53,1,461655,708.0
53,1,461671,709.0
53,1,461687,709.0
53,1,461705,709.0
53,1,461721,709.0
53,1,461738,709.0
53,1,461754,710.0
53,1,461771,710.0
53,1,461788,710.0
53,1,461804,710.0
53,1,461822,709.0
53,1,461838,709.0
53,1,461854,709.0
53,1,461872,710.0
53,1,461888,711.0
53,1,461904,710.0
53,1,461921,709.0
53,1,461937,709.0
53,1,461954,709.0
53,1,461970,708.0
53,1,461988,708.0
53,1,462004,709.0
53,1,462022,709.0
53,1,462038,710.0
53,1,462054,709.0
53,1,462071,710.0
53,1,462088,709.0
53,1,462104,709.0
53,1,462121,710.0
53,1,462137,710.0
53,1,462155,710.0
53,1,462171,710.0
53,1,462187,710.0
53,1,462206,710.0
53,1,462222,723.0
53,1,462238,687.0
53,1,462255,643.0
53,1,462271,617.0
53,1,462288,574.0
53,1,462304,544.0
