Layer #,Pass #,Time(ms),Reading
53,1,463729,0.0
53,1,463746,0.0
53,1,463763,0.0
53,1,463780,0.0
53,1,463797,0.0
53,1,463813,753.0
53,1,463829,755.0
53,1,463846,759.0
53,1,463863,756.0
53,1,463879,758.0
53,1,463896,756.0
53,1,463913,755.0
53,1,463929,756.0
53,1,463946,756.0
53,1,463963,751.0
53,1,463979,751.0
53,1,463995,756.0
53,1,464013,752.0
53,1,464029,753.0
53,1,464046,753.0
53,1,464063,756.0
53,1,464080,756.0
53,1,464096,757.0
53,1,464112,756.0
53,1,464130,756.0
53,1,464146,758.0
53,1,464163,755.0
53,1,464179,758.0
53,1,464196,752.0
53,1,464213,754.0
53,1,464230,752.0
53,1,464246,754.0
53,1,464263,754.0
53,1,464280,755.0
53,1,464295,753.0
53,1,464312,758.0
53,1,464329,756.0
53,1,464346,758.0
53,1,464362,758.0
53,1,464379,755.0
53,1,464396,756.0
53,1,464413,756.0
53,1,464429,757.0
53,1,464445,757.0
53,1,464463,752.0
53,1,464480,753.0
53,1,464497,754.0
53,1,464512,753.0
53,1,464530,754.0
53,1,464547,758.0
53,1,464562,757.0
53,1,464579,758.0
53,1,464595,758.0
53,1,464613,757.0
53,1,464630,755.0
53,1,464646,757.0
53,1,464663,754.0
53,1,464679,756.0
53,1,464696,753.0
53,1,464712,754.0
53,1,464730,752.0
53,1,464746,754.0
53,1,464763,753.0
53,1,464779,757.0
53,1,464796,755.0
53,1,464813,758.0
53,1,464829,756.0
53,1,464846,758.0
53,1,464863,758.0
53,1,464880,759.0
53,1,464896,757.0
53,1,464913,754.0
53,1,464929,758.0
53,1,464946,754.0
53,1,464963,755.0
53,1,464979,753.0
53,1,464996,753.0
53,1,465013,754.0
53,1,465030,759.0
53,1,465046,757.0
53,1,465064,757.0
53,1,465079,758.0
53,1,465096,758.0
53,1,465113,757.0
53,1,465129,759.0
53,1,465146,759.0
53,1,465162,756.0
53,1,465179,752.0
53,1,465196,754.0
53,1,465213,753.0
53,1,465229,753.0
53,1,465247,756.0
53,1,465263,758.0
53,1,465280,759.0
53,1,465296,756.0
53,1,465313,758.0
53,1,465330,758.0
53,1,465345,757.0
53,1,465362,757.0
53,1,465380,758.0
53,1,465396,754.0
53,1,465413,756.0
53,1,465429,756.0
53,1,465446,754.0
53,1,465463,754.0
53,1,465480,756.0
53,1,465496,757.0
53,1,465513,758.0
53,1,465530,759.0
53,1,465547,758.0
53,1,465562,758.0
